infinitive,meaning,mood,tense,yo,tú,él/ella/usted,nosotros/nosotras,vosotros/vosotras,ellos/ellas/ustedes
ser,～である (性質),直説法,現在,soy,eres,es,somos,sois,son
ser,～である (性質),直説法,点過去,fui,fuiste,fue,fuimos,fuisteis,fueron
ser,～である (性質),直説法,線過去,era,eras,era,éramos,erais,eran
ser,～である (性質),直説法,未来,seré,serás,será,seremos,seréis,serán
estar,～である (状態),直説法,現在,estoy,estás,está,estamos,estáis,están
estar,～である (状態),直説法,点過去,estuve,estuviste,estuvo,estuvimos,estuvisteis,estuvieron
estar,～である (状態),直説法,線過去,estaba,estabas,estaba,estábamos,estabais,estaban
ir,行く,直説法,現在,voy,vas,va,vamos,vais,van
ir,行く,直説法,点過去,fui,fuiste,fue,fuimos,fuisteis,fueron
ir,行く,直説法,線過去,iba,ibas,iba,íbamos,ibais,iban
ir,行く,直説法,未来,iré,irás,irá,iremos,iréis,irán
tener,持つ・ある,直説法,現在,tengo,tienes,tiene,tenemos,tenéis,tienen
tener,持つ・ある,直説法,点過去,tuve,tuviste,tuvo,tuvimos,tuvisteis,tuvieron
tener,持つ・ある,直説法,線過去,tenía,tenías,tenía,teníamos,teníais,tenían
tener,持つ・ある,直説法,未来,tendré,tendrás,tendrá,tendremos,tendréis,tendrán
hacer,する・作る,直説法,現在,hago,haces,hace,hacemos,hacéis,hacen
hacer,する・作る,直説法,点過去,hice,hiciste,hizo,hicimos,hicisteis,hicieron
hacer,する・作る,直説法,線過去,hacía,hacías,hacía,hacíamos,hacíais,hacían
hacer,する・作る,直説法,未来,haré,harás,hará,haremos,haréis,harán
decir,言う,直説法,現在,digo,dices,dice,decimos,decís,dicen
decir,言う,直説法,点過去,dije,dijiste,dijo,dijimos,dijisteis,dijeron
decir,言う,直説法,線過去,decía,decías,decía,decíamos,decíais,decían
decir,言う,直説法,未来,diré,dirás,dirá,diremos,diréis,dirán
poder,できる,直説法,現在,puedo,puedes,puede,podemos,podéis,pueden
poder,できる,直説法,点過去,pude,pudiste,pudo,pudimos,pudisteis,pudieron
poder,できる,直説法,線過去,podía,podías,podía,podíamos,podíais,podían
poder,できる,直説法,未来,podré,podrás,podrá,podremos,podréis,podrán
ver,見る,直説法,現在,veo,ves,ve,vemos,veis,ven
ver,見る,直説法,点過去,vi,viste,vio,vimos,visteis,vieron
ver,見る,直説法,線過去,veía,veías,veía,veíamos,veíais,veían
dar,与える,直説法,現在,doy,das,da,damos,dais,dan
dar,与える,直説法,点過去,di,diste,dio,dimos,disteis, dieron
dar,与える,直説法,線過去,daba,dabas,daba,dábamos,dabais,daban
saber,知っている,直説法,現在,sé,sabes,sabe,sabemos,sabéis,saben
saber,知っている,直説法,点過去,supe,supiste,supo,supimos,supisteis,supieron
saber,知っている,直説法,線過去,sabía,sabías,sabía,sabíamos,sabíais,sabían
saber,知っている,直説法,未来,sabré,sabrás,sabrá,sabremos,sabréis,sabrán
querer,欲しい・愛する,直説法,現在,quiero,quieres,quiere,queremos,queréis,quieren
querer,欲しい・愛する,直説法,点過去,quise,quisiste,quiso,quisimos,quisisteis,quisieron
querer,欲しい・愛する,直説法,線過去,quería,querías,quería,queríamos,queríais,querían
querer,欲しい・愛する,直説法,未来,querré,querrás,querrá,querremos,querréis,querrán
llegar,到着する,直説法,現在,llego,llegas,llega,llegamos,llegáis,llegan
llegar,到着する,直説法,点過去,llegué,llegaste,llegó,llegamos,llegasteis,llegaron
creer,信じる,直説法,現在,creo,crees,cree,creemos,creéis,creen
creer,信じる,直説法,点過去,creí,creíste,creyó,creímos,creísteis,creyeron
hablar,話す,直説法,現在,hablo,hablas,habla,hablamos,habláis,hablan
hablar,話す,直説法,点過去,hablé,hablaste,habló,hablamos,hablasteis,hablaron
hablar,話す,直説法,線過去,hablaba,hablabas,hablaba,hablábamos,hablabais,hablaban
comer,食べる,直説法,現在,como,comes,come,comemos,coméis,comen
comer,食べる,直説法,点過去,comí,comiste,comió,comimos,comisteis,comieron
comer,食べる,直説法,線過去,comía,comías,comía,comíamos,comíais,comían
vivir,住む・生きる,直説法,現在,vivo,vives,vive,vivimos,vivís,viven
vivir,住む・生きる,直説法,点過去,viví,viviste,vivió,vivimos,vivisteis,vivieron
vivir,住む・生きる,直説法,線過去,vivía,vivías,vivía,vivíamos,vivíais,vivían
haber,ある・いる (助動詞),直説法,現在,he,has,ha,hemos,habéis,han
haber,ある・いる (助動詞),直説法,点過去,hube,hubiste,hubo,hubimos,hubisteis,hubieron
haber,ある・いる (助動詞),直説法,線過去,había,habías,había,habíamos,habíais,habían
poner,置く,直説法,現在,pongo,pones,pone,ponemos,ponéis,ponen
poner,置く,直説法,点過去,puse,pusiste,puso,pusimos,pusisteis,pusieron
poner,置く,直説法,線過去,ponía,ponías,ponía,poníamos,poníais,ponían
salir,出る,直説法,現在,salgo,sales,sale,salimos,salís,salen
salir,出る,直説法,点過去,salí,saliste,salió,salimos,salisteis,salieron
salir,出る,直説法,線過去,salía,salías,salía,salíamos,salíais,salían
venir,来る,直説法,現在,vengo,vienes,viene,venimos,venís,vienen
venir,来る,直説法,点過去,vine,viniste,vino,vinimos,vinisteis,vinieron
venir,来る,直説法,線過去,venía,venías,venía,veníamos,veníais,venían
traer,持ってくる,直説法,現在,traigo,traes,trae,traemos,traéis,traen
traer,持ってくる,直説法,点過去,traje,trajiste,trajo,trajimos,trajisteis,trajeron
traer,持ってくる,直説法,線過去,traía,traías,traía,traíamos,traíais,traían
conocer,知っている (面識),直説法,現在,conozco,conoces,conoce,conocemos,conocéis,conocen
conocer,知っている (面識),直説法,点過去,conocí,conociste,conoció,conocimos,conocisteis,conocieron
conocer,知っている (面識),直説法,線過去,conocía,conocías,conocía,conocíamos,conocíais,conocían
sentir,感じる,直説法,現在,siento,sientes,siente,sentimos,sentís,sienten
sentir,感じる,直説法,点過去,sentí,sentiste,sintió,sentimos,sentisteis,sintieron
sentir,感じる,直説法,線過去,sentía,sentías,sentía,sentíamos,sentíais,sentían
pedir,頼む・求める,直説法,現在,pido,pides,pide,pedimos,pedís,piden
pedir,頼む・求める,直説法,点過去,pedí,pediste,pidió,pedimos,pedisteis,pidieron
pedir,頼む・求める,直説法,線過去,pedía,pedías,pedía,pedíamos,pedíais,pedían
dormir,眠る,直説法,現在,duermo,duermes,duerme,dormimos,dormís,duermen
dormir,眠る,直説法,点過去,dormí,dormiste,durmió,dormimos,dormisteis,durmieron
dormir,眠る,直説法,線過去,dormía,dormías,dormía,dormíamos,dormíais,dormían
pensar,考える,直説法,現在,pienso,piensas,piensa,pensamos,pensáis,piensan
pensar,考える,直説法,点過去,pensé,pensaste,pensó,pensamos,pensasteis,pensaron
pensar,考える,直説法,線過去,pensaba,pensabas,pensaba,pensábamos,pensabais,pensaban
entender,理解する,直説法,現在,entiendo,entiendes,entiende,entendemos,entendéis,entienden
entender,理解する,直説法,点過去,entendí,entendiste,entendió,entendimos,entendisteis,entendieron
entender,理解する,直説法,線過去,entendía,entendías,entendía,entendíamos,entendíais,entendían
jugar,遊ぶ・競技する,直説法,現在,juego,juegas,juega,jugamos,jugáis,juegan
jugar,遊ぶ・競技する,直説法,点過去,jugué,jugaste,jugó,jugamos,jugasteis,jugaron
jugar,遊ぶ・競技する,直説法,線過去,jugaba,jugabas,jugaba,jugábamos,jugabais,jugaban
escribir,書く,直説法,現在,escribo,escribes,escribe,escribimos,escribís,escriben
escribir,書く,直説法,点過去,escribí,escribiste,escribió,escribimos,escribisteis,escribieron
